"","names","pts","ast","reb","wins","total_games","win_pct","year"
"67","CJ McCollum",19.0909090909091,6.18181818181818,5.18181818181818,6,11,0.545454545454545,2023
"68","Clint Capela",9.81818181818182,0.727272727272727,11,7,11,0.636363636363636,2023
"69","Coby White",8.14285714285714,1.71428571428571,1.71428571428571,3,7,0.428571428571429,2023
"70","Cody Martin",0,0,0,1,1,1,2023
"71","Cole Anthony",15.5,4.25,4.75,0,4,0,2023
"72","Cole Swider",0,1,1,0,1,0,2023
"73","Collin Sexton",13.6923076923077,1.84615384615385,2.84615384615385,10,13,0.769230769230769,2023
"74","Corey Kispert",5.33333333333333,2,2.33333333333333,1,3,0.333333333333333,2023
"75","Cory Joseph",3.5,2.6,1.1,2,10,0.2,2023
"76","D'Angelo Russell",14,5.66666666666667,3.83333333333333,5,12,0.416666666666667,2023
"77","Daishen Nix",3.9,2.1,1.1,2,10,0.2,2023
"78","Dalano Banton",4.09090909090909,0.727272727272727,1.09090909090909,6,11,0.545454545454545,2023
"79","Dalen Terry",0.571428571428571,0.285714285714286,0.285714285714286,4,7,0.571428571428571,2023
"80","Damian Jones",2.875,0.375,2.75,1,8,0.125,2023
"81","Damian Lillard",28.5714285714286,5.14285714285714,4.71428571428571,6,7,0.857142857142857,2023
"82","Damion Lee",6.27272727272727,1.09090909090909,2.45454545454545,8,11,0.727272727272727,2023
"83","Daniel Gafford",5.81818181818182,0.545454545454545,3.45454545454545,5,11,0.454545454545455,2023
"84","Danuel House Jr.",3.66666666666667,1,2,4,9,0.444444444444444,2023
"85","Dario Saric",2.83333333333333,0.833333333333333,2.83333333333333,4,6,0.666666666666667,2023
"86","Darius Bazley",6,1.54545454545455,4.72727272727273,4,11,0.363636363636364,2023
"87","Darius Garland",16.4,8.4,2.2,2,5,0.4,2023
"88","David Duke Jr.",4.16666666666667,0.666666666666667,1.5,3,6,0.5,2023
"89","David Roddy",5.33333333333333,0.666666666666667,2.58333333333333,8,12,0.666666666666667,2023
"90","Davion Mitchell",7.3,2,1.5,4,10,0.4,2023
"91","Davon Reed",1.28571428571429,0.142857142857143,0.571428571428571,4,7,0.571428571428571,2023
"92","Day'Ron Sharpe",2.5,0.625,3.375,4,8,0.5,2023
"93","De'Aaron Fox",25.2222222222222,5.11111111111111,5,4,9,0.444444444444444,2023
"94","De'Andre Hunter",15.0909090909091,1.09090909090909,3.90909090909091,7,11,0.636363636363636,2023
"95","De'Anthony Melton",9.4,2.9,3.5,5,10,0.5,2023
"96","Dean Wade",7.27272727272727,1,3.27272727272727,8,11,0.727272727272727,2023
"97","Deandre Ayton",14.5555555555556,1.55555555555556,7.55555555555556,6,9,0.666666666666667,2023
"98","DeAndre Jordan",6,0.666666666666667,5.66666666666667,6,9,0.666666666666667,2023
"99","Dejounte Murray",22.6363636363636,8.09090909090909,6.45454545454545,7,11,0.636363636363636,2023
"100","Delon Wright",6.5,3.25,2.5,3,4,0.75,2023
"101","DeMar DeRozan",24.4615384615385,4.23076923076923,4.07692307692308,6,13,0.461538461538462,2023
"102","Deni Avdija",4.54545454545455,1.36363636363636,4.18181818181818,5,11,0.454545454545455,2023
"103","Dennis Schroder",0,0,0,0,1,0,2023
"104","Dennis Smith Jr.",10,6,3.75,3,12,0.25,2023
"105","Dereon Seabron",0,0,0,1,2,0.5,2023
"106","Derrick Jones Jr.",5.90909090909091,0.636363636363636,2.63636363636364,5,11,0.454545454545455,2023
"107","Derrick Rose",6,2,2.09090909090909,5,11,0.454545454545455,2023
"108","Derrick White",7.90909090909091,2.72727272727273,3.63636363636364,8,11,0.727272727272727,2023
"109","Desmond Bane",24.7272727272727,4.72727272727273,5.09090909090909,8,11,0.727272727272727,2023
"110","Devin Booker",27.5454545454545,5.54545454545455,4.18181818181818,8,11,0.727272727272727,2023
"111","Devin Vassell",20.875,4.25,4,3,8,0.375,2023
"112","Devonte' Graham",5.36363636363636,2.63636363636364,1.36363636363636,6,11,0.545454545454545,2023
"113","Dewayne Dedmon",5.55555555555556,0.666666666666667,3.44444444444444,4,9,0.444444444444444,2023
"114","Dillon Brooks",14.5555555555556,2.33333333333333,3.44444444444444,6,9,0.666666666666667,2023
"115","Domantas Sabonis",16.8,6.1,10.4,4,10,0.4,2023
"116","Dominick Barlow",2,3,1,0,1,0,2023
"117","Donovan Mitchell",31.9,5.8,4.2,7,10,0.7,2023
"118","Donte DiVincenzo",5,1,0.666666666666667,2,3,0.666666666666667,2023
"119","Dorian Finney-Smith",8.9,0.7,3.8,6,10,0.6,2023
"120","Doug McDermott",10,1.41666666666667,2.16666666666667,5,12,0.416666666666667,2023
"121","Draymond Green",9.1,5.6,6.1,4,10,0.4,2023
"122","Drew Eubanks",5.72727272727273,0.727272727272727,3,8,11,0.727272727272727,2023
"123","Dru Smith",2,0,1,1,1,1,2023
"124","Duane Washington Jr.",1,0,0,4,4,1,2023
"125","Duncan Robinson",5.90909090909091,1.36363636363636,2.72727272727273,4,11,0.363636363636364,2023
"126","Dwight Powell",5.85714285714286,0.285714285714286,3.57142857142857,5,7,0.714285714285714,2023
"127","Dyson Daniels",4.75,1.5,2.75,2,4,0.5,2023
"128","Edmond Sumner",7,1.3,2,4,10,0.4,2023
"129","Eric Gordon",12.7,3.2,2.1,2,10,0.2,2023
"130","Eugene Omoruyi",4.2,0.2,1.8,1,5,0.2,2023
"131","Evan Fournier",7.90909090909091,1.72727272727273,2.27272727272727,5,11,0.454545454545455,2023
"132","Evan Mobley",15.2727272727273,1.90909090909091,6.54545454545455,8,11,0.727272727272727,2023
"133","Facundo Campazzo",1.5,1.5,0,1,2,0.5,2023
"134","Frank Kaminsky",1,0.5,0.75,3,4,0.75,2023
"135","Franz Wagner",18.4166666666667,4.66666666666667,3.83333333333333,3,12,0.25,2023
"136","Fred VanVleet",18.7777777777778,7.22222222222222,3.88888888888889,5,9,0.555555555555556,2023
"137","Furkan Korkmaz",1,0.666666666666667,1,2,3,0.666666666666667,2023
"138","Gabe Vincent",8.63636363636364,3.09090909090909,2.18181818181818,4,11,0.363636363636364,2023
"139","Garrett Temple",3,0.5,0.5,1,2,0.5,2023
"140","Garrison Mathews",4.16666666666667,0.416666666666667,0.833333333333333,2,12,0.166666666666667,2023
"141","Gary Trent Jr.",17.8333333333333,1.58333333333333,2,7,12,0.583333333333333,2023
"142","George Hill",5.54545454545455,2.45454545454545,1.72727272727273,10,11,0.909090909090909,2023
"143","Georges Niang",9,0.545454545454545,2.09090909090909,5,11,0.454545454545455,2023
"144","Giannis Antetokounmpo",31.7777777777778,5.33333333333333,12.2222222222222,8,9,0.888888888888889,2023
"145","Goga Bitadze",4.5,1.5,3.375,3,8,0.375,2023
"146","Goran Dragic",10,3.38461538461538,1.92307692307692,6,13,0.461538461538462,2023
"147","Gordon Hayward",17.375,4.125,4.25,3,8,0.375,2023
"148","Gorgui Dieng",3.5,1.83333333333333,2,2,6,0.333333333333333,2023
