"","names","pts","ast","reb","wins","total_games","win_pct","year"
"334","Nicolas Batum",3.83333333333333,1.58333333333333,3.66666666666667,7,12,0.583333333333333,2023
"335","Nikola Jokic",21.1818181818182,9,9.90909090909091,8,11,0.727272727272727,2023
"336","Nikola Jovic",2,0.333333333333333,0.666666666666667,1,3,0.333333333333333,2023
"337","Nikola Vucevic",16.5384615384615,3.07692307692308,11.9230769230769,6,13,0.461538461538462,2023
"338","Noah Vonleh",2.33333333333333,0.222222222222222,3.22222222222222,7,9,0.777777777777778,2023
"339","Norman Powell",11.5833333333333,1.33333333333333,2.75,7,12,0.583333333333333,2023
"340","O.G. Anunoby",16.8333333333333,1.75,6.41666666666667,7,12,0.583333333333333,2023
"341","Obi Toppin",10.2727272727273,1.18181818181818,4,5,11,0.454545454545455,2023
"342","Ochai Agbaji",3.33333333333333,0.166666666666667,1.66666666666667,5,6,0.833333333333333,2023
"343","Onyeka Okongwu",8.18181818181818,1.09090909090909,5.18181818181818,7,11,0.636363636363636,2023
"344","Oshae Brissett",1,0.333333333333333,1.33333333333333,2,6,0.333333333333333,2023
"345","Otto Porter Jr.",6.4,0.8,2.4,3,5,0.6,2023
"346","Ousmane Dieng",3.33333333333333,1.66666666666667,2.22222222222222,3,9,0.333333333333333,2023
"347","P.J. Tucker",5.72727272727273,0.727272727272727,4.63636363636364,5,11,0.454545454545455,2023
"348","P.J. Washington",15.9166666666667,1.75,4.66666666666667,3,12,0.25,2023
"349","Paolo Banchero",23.5454545454545,3.63636363636364,8.27272727272727,2,11,0.181818181818182,2023
"350","Pascal Siakam",24.7777777777778,7.66666666666667,9.33333333333333,5,9,0.555555555555556,2023
"351","Patrick Baldwin Jr.",0,0,0,0,2,0,2023
"352","Patrick Beverley",4.88888888888889,2.77777777777778,3.77777777777778,2,9,0.222222222222222,2023
"353","Patrick Williams",8.84615384615385,0.769230769230769,3.69230769230769,6,13,0.461538461538462,2023
"354","Patty Mills",5.66666666666667,0.833333333333333,0.75,5,12,0.416666666666667,2023
"355","Paul George",25.3636363636364,4.54545454545455,6.09090909090909,7,11,0.636363636363636,2023
"356","Paul Reed",0.75,0.125,1.625,4,8,0.5,2023
"357","Payton Pritchard",2.75,1.25,1,3,4,0.75,2023
"358","Peyton Watson",1.5,0,0.75,2,4,0.5,2023
"359","Precious Achiuwa",8.75,1.33333333333333,7,7,12,0.583333333333333,2023
"360","Quentin Grimes",1.66666666666667,0.666666666666667,0.333333333333333,1,3,0.333333333333333,2023
"361","R.J. Hampton",6.4,1.3,1.8,3,10,0.3,2023
"362","Raul Neto",4.14285714285714,1.85714285714286,1.71428571428571,6,7,0.857142857142857,2023
"363","Reggie Bullock",4.8,0.9,2.8,6,10,0.6,2023
"364","Reggie Jackson",10.4166666666667,4,1.91666666666667,7,12,0.583333333333333,2023
"365","Richaun Holmes",4,0,2.875,3,8,0.375,2023
"366","RJ Barrett",19.2727272727273,2.90909090909091,5.81818181818182,5,11,0.454545454545455,2023
"367","Robert Covington",4.14285714285714,1.14285714285714,3.28571428571429,3,7,0.428571428571429,2023
"368","Robin Lopez",3.57142857142857,0.428571428571429,1.57142857142857,6,7,0.857142857142857,2023
"369","Rodney McGruder",1,0.2,0.8,0,5,0,2023
"370","Romeo Langford",4.33333333333333,0.5,2.16666666666667,2,6,0.333333333333333,2023
"371","Ron Harper Jr.",0,0,0,1,1,1,2023
"372","Royce O'Neale",10.5,4.16666666666667,4.66666666666667,5,12,0.416666666666667,2023
"373","Rudy Gay",4.3,0.9,3.6,8,10,0.8,2023
"374","Rudy Gobert",13.8,1,13.6,4,10,0.4,2023
"375","Rui Hachimura",11,0.909090909090909,4.90909090909091,5,11,0.454545454545455,2023
"376","Russell Westbrook",16.1,6.3,5.6,2,10,0.2,2023
"377","Ryan Arcidiacono",0,0.333333333333333,0.666666666666667,2,3,0.666666666666667,2023
"378","Ryan Rollins",1.75,0.25,0.25,2,4,0.5,2023
"379","Saddiq Bey",17.0833333333333,1.41666666666667,4.75,3,12,0.25,2023
"380","Sam Hauser",7.90909090909091,0.545454545454545,1.81818181818182,8,11,0.727272727272727,2023
"381","Sandro Mamukelashvili",0.666666666666667,0,1,2,3,0.666666666666667,2023
"382","Santi Aldama",9.16666666666667,0.916666666666667,6.08333333333333,8,12,0.666666666666667,2023
"383","Scottie Barnes",14.1818181818182,5,6.72727272727273,6,11,0.545454545454545,2023
"384","Scotty Pippen Jr.",1.5,0,1,0,2,0,2023
"385","Serge Ibaka",3.55555555555556,0.333333333333333,2.66666666666667,8,9,0.888888888888889,2023
"386","Seth Curry",6.75,2,1.25,2,4,0.5,2023
"387","Shaedon Sharpe",9.36363636363636,0.454545454545455,2.72727272727273,8,11,0.727272727272727,2023
"388","Shai Gilgeous-Alexander",31.6,5.6,4.5,4,10,0.4,2023
"389","Shake Milton",3,1.14285714285714,1.57142857142857,5,7,0.714285714285714,2023
"390","Simone Fontecchio",2.5,0,1,5,6,0.833333333333333,2023
"391","Spencer Dinwiddie",16.9,4.4,3.1,6,10,0.6,2023
"392","Stephen Curry",32.6,6.9,7.1,4,10,0.4,2023
"393","Steven Adams",6.72727272727273,2.36363636363636,11.7272727272727,8,11,0.727272727272727,2023
"394","Svi Mykhailiuk",3,0,0.666666666666667,2,3,0.666666666666667,2023
"395","T.J. McConnell",4,3,2.3,4,10,0.4,2023
"396","Taj Gibson",2.5,0.5,1,2,6,0.333333333333333,2023
"397","Talen Horton-Tucker",7.53846153846154,1.76923076923077,2.92307692307692,10,13,0.769230769230769,2023
"398","Tari Eason",8.58333333333333,1.08333333333333,5.16666666666667,2,12,0.166666666666667,2023
"399","Taurean Prince",7.75,1.16666666666667,2.83333333333333,5,12,0.416666666666667,2023
"400","Terance Mann",6.75,1.33333333333333,2.91666666666667,7,12,0.583333333333333,2023
"401","Terence Davis",5.88888888888889,1.22222222222222,2.33333333333333,3,9,0.333333333333333,2023
"402","Terrence Ross",9.81818181818182,1.27272727272727,2.72727272727273,2,11,0.181818181818182,2023
"403","Terry Rozier",21.8,6,5.8,1,5,0.2,2023
"404","Terry Taylor",2.71428571428571,0.714285714285714,2.14285714285714,3,7,0.428571428571429,2023
"405","Thaddeus Young",2,1.11111111111111,2.55555555555556,4,9,0.444444444444444,2023
"406","Thanasis Antetokounmpo",0,0.2,0.4,4,5,0.8,2023
"407","Theo Maledon",4.09090909090909,2.27272727272727,1.72727272727273,3,11,0.272727272727273,2023
"408","Theo Pinson",2,1,2,1,1,1,2023
"409","Tim Hardaway Jr.",10.7777777777778,1.77777777777778,1.66666666666667,6,9,0.666666666666667,2023
"410","Tobias Harris",15,3,6.63636363636364,5,11,0.454545454545455,2023
"411","Tony Bradley",0,0,1.33333333333333,2,3,0.666666666666667,2023
"412","Torrey Craig",5.45454545454545,1.36363636363636,3.81818181818182,8,11,0.727272727272727,2023
"413","Trae Young",27.6,9.4,3.4,6,10,0.6,2023
"414","Tre Jones",12.5833333333333,6.41666666666667,3.75,5,12,0.416666666666667,2023
"415","Tre Mann",11.6363636363636,2.54545454545455,3.36363636363636,4,11,0.363636363636364,2023
"416","Trendon Watford",6.33333333333333,3,3,2,3,0.666666666666667,2023
"417","Trent Forrest",0,0.75,0.5,2,4,0.5,2023
"418","Trevor Hudgins",3,0,0,0,1,0,2023
"419","Trevor Keels",0,0,1,1,1,1,2023
"420","Trey Lyles",7.5,1,2.875,4,8,0.5,2023
"421","Trey Murphy III",11.5454545454545,1.54545454545455,4.90909090909091,6,11,0.545454545454545,2023
"422","Troy Brown Jr.",10.3333333333333,0.888888888888889,5.44444444444444,2,9,0.222222222222222,2023
"423","Ty Jerome",6,1.875,1,2,8,0.25,2023
"424","Tyler Dorsey",9,0,2,1,1,1,2023
"425","Tyler Herro",19.6,2.6,6.4,4,10,0.4,2023
"426","Tyrese Haliburton",21.6363636363636,9.90909090909091,4.63636363636364,5,11,0.454545454545455,2023
"427","Tyrese Martin",1.4,0,0.2,3,5,0.6,2023
"428","Tyrese Maxey",23.6363636363636,4,3.54545454545455,5,11,0.454545454545455,2023
"429","Tyus Jones",10.8333333333333,3.91666666666667,1.66666666666667,8,12,0.666666666666667,2023
"430","Udoka Azubuike",2,0.25,2,3,4,0.75,2023
"431","Udonis Haslem",1.5,0,1,1,2,0.5,2023
"432","Usman Garuba",3.7,1.2,5.5,2,10,0.2,2023
"433","Vernon Carey Jr.",0,0,0,0,1,0,2023
"434","Vince Williams Jr.",0.666666666666667,0.666666666666667,1,1,3,0.333333333333333,2023
"435","Vit Krejci",1.6,0.2,0.4,3,5,0.6,2023
"436","Vlatko Cancar",0.75,0,0.5,3,4,0.75,2023
"437","Walker Kessler",6.1,0.8,5,8,10,0.8,2023
"438","Wendell Carter Jr.",15.6666666666667,2.91666666666667,9.41666666666667,3,12,0.25,2023
"439","Wendell Moore Jr.",0,0,0,1,1,1,2023
"440","Wenyen Gabriel",3.88888888888889,0.777777777777778,2.88888888888889,2,9,0.222222222222222,2023
"441","Wesley Matthews",3.81818181818182,0.636363636363636,2.54545454545455,10,11,0.909090909090909,2023
"442","Will Barton",8.81818181818182,2.45454545454545,3.18181818181818,5,11,0.454545454545455,2023
"443","Willy Hernangomez",4,0.333333333333333,4,2,3,0.666666666666667,2023
"444","Xavier Tillman",3.5,0.75,2.875,4,8,0.5,2023
"445","Yuta Watanabe",5.6,0.5,2.4,3,10,0.3,2023
"446","Zach Collins",8.33333333333333,2.77777777777778,4.66666666666667,5,9,0.555555555555556,2023
"447","Zach LaVine",22,4.11111111111111,3.77777777777778,5,9,0.555555555555556,2023
"448","Zeke Nnaji",2,0,0.833333333333333,4,6,0.666666666666667,2023
"449","Zion Williamson",22.6666666666667,3.77777777777778,6.66666666666667,5,9,0.555555555555556,2023
