"","names","pts","ast","reb","wins","total_games","win_pct","year","mvp","is_mvp"
"1378","Shawne Williams",5.412698413,0.698412698,2.634920635,26,63,0.412698413,2015,0,"NO"
"1379","Shayne Whittington",2.85,0.3,1.45,9,20,0.45,2015,0,"NO"
"1380","Shelvin Mack",5.436363636,2.818181818,1.436363636,37,55,0.672727273,2015,0,"NO"
"1381","Sim Bhullar",0.666666667,0.333333333,0.333333333,1,3,0.333333333,2015,0,"NO"
"1382","Solomon Hill",8.890243902,2.243902439,3.829268293,38,82,0.463414634,2015,0,"NO"
"1383","Spencer Dinwiddie",4.264705882,3.058823529,1.411764706,12,34,0.352941176,2015,0,"NO"
"1384","Spencer Hawes",5.821917808,1.205479452,3.534246575,52,73,0.712328767,2015,0,"NO"
"1385","Stephen Curry",23.75,7.7375,4.2625,67,80,0.8375,2015,1,"YES"
"1386","Steve Blake",4.320987654,3.555555556,1.691358025,51,81,0.62962963,2015,0,"NO"
"1387","Steve Novak",1.8,0.314285714,0.628571429,12,35,0.342857143,2015,0,"NO"
"1388","Steven Adams",7.671428571,0.942857143,7.471428571,37,70,0.528571429,2015,0,"NO"
"1389","T.J. Warren",6.125,0.625,2.125,17,40,0.425,2015,0,"NO"
"1390","Taj Gibson",10.32258065,1.14516129,6.387096774,38,62,0.612903226,2015,0,"NO"
"1391","Tarik Black",6.015873016,0.666666667,5.841269841,25,63,0.396825397,2015,0,"NO"
"1392","Tayshaun Prince",7.482758621,1.603448276,3.620689655,27,58,0.465517241,2015,0,"NO"
"1393","Terrence Jones",11.6969697,1.090909091,6.666666667,24,33,0.727272727,2015,0,"NO"
"1394","Terrence Ross",9.841463415,1.048780488,2.756097561,49,82,0.597560976,2015,0,"NO"
"1395","Thabo Sefolosha",5.346153846,1.442307692,4.288461538,43,52,0.826923077,2015,0,"NO"
"1396","Thaddeus Young",14.09210526,2.276315789,5.407894737,25,76,0.328947368,2015,0,"NO"
"1397","Thomas Robinson",5.703703704,0.611111111,5.611111111,26,54,0.481481481,2015,0,"NO"
"1398","Tiago Splitter",8.230769231,1.5,4.846153846,34,52,0.653846154,2015,0,"NO"
"1399","Tim Duncan",13.8961039,2.987012987,9.142857143,53,77,0.688311688,2015,0,"NO"
"1400","Tim Frazier",5.181818182,5.454545455,2.545454545,3,11,0.272727273,2015,0,"NO"
"1401","Tim Hardaway Jr.",11.48571429,1.814285714,2.228571429,16,70,0.228571429,2015,0,"NO"
"1402","Timofey Mozgov",9.691358025,0.679012346,7.296296296,49,81,0.604938272,2015,0,"NO"
"1403","Tobias Harris",17.11764706,1.823529412,6.323529412,20,68,0.294117647,2015,0,"NO"
"1404","Toney Douglas",4.25,2,1.833333333,7,12,0.583333333,2015,0,"NO"
"1405","Tony Allen",8.555555556,1.365079365,4.444444444,46,63,0.73015873,2015,0,"NO"
"1406","Tony Parker",14.35294118,4.926470588,1.897058824,48,68,0.705882353,2015,0,"NO"
"1407","Tony Snell",6.041666667,0.861111111,2.444444444,43,72,0.597222222,2015,0,"NO"
"1408","Tony Wroten",16.9,5.233333333,2.866666667,4,30,0.133333333,2015,0,"NO"
"1409","Toure' Murry",1.2,0.2,0.2,3,5,0.6,2015,0,"NO"
"1410","Travis Wear",3.901960784,0.784313725,2.078431373,7,51,0.137254902,2015,0,"NO"
"1411","Trevor Ariza",12.7804878,2.548780488,5.597560976,56,82,0.682926829,2015,0,"NO"
"1412","Trevor Booker",7.17721519,1.050632911,5.025316456,37,79,0.46835443,2015,0,"NO"
"1413","Trey Burke",12.80263158,4.315789474,2.684210526,35,76,0.460526316,2015,0,"NO"
"1414","Tristan Thompson",8.451219512,0.475609756,8.012195122,53,82,0.646341463,2015,0,"NO"
"1415","Troy Daniels",3.744680851,0.468085106,0.70212766,15,47,0.319148936,2015,0,"NO"
"1416","Ty Lawson",15.24,9.6,3.12,29,75,0.386666667,2015,0,"NO"
"1417","Tyler Ennis",3.666666667,2.212121212,1.060606061,11,33,0.333333333,2015,0,"NO"
"1418","Tyler Hansbrough",3.648648649,0.283783784,3.581081081,45,74,0.608108108,2015,0,"NO"
"1419","Tyler Johnson",5.9375,1.3125,2.53125,15,32,0.46875,2015,0,"NO"
"1420","Tyler Zeller",10.15853659,1.37804878,5.670731707,40,82,0.487804878,2015,0,"NO"
"1421","Tyreke Evans",16.62025316,6.594936709,5.265822785,43,79,0.544303797,2015,0,"NO"
"1422","Tyrus Thomas",2,0.5,0,2,2,1,2015,0,"NO"
"1423","Tyson Chandler",10.28,1.12,11.52,47,75,0.626666667,2015,0,"NO"
"1424","Udonis Haslem",4.209677419,0.741935484,4.161290323,31,62,0.5,2015,0,"NO"
"1425","Vander Blue",11,4,4.5,0,2,0,2015,0,"NO"
"1426","Victor Claver",2.4,0.1,2,6,10,0.6,2015,0,"NO"
"1427","Victor Oladipo",17.94444444,4.097222222,4.194444444,22,72,0.305555556,2015,0,"NO"
"1428","Vince Carter",5.818181818,1.196969697,2.015151515,45,66,0.681818182,2015,0,"NO"
"1429","Wayne Ellington",10,1.615384615,3.230769231,18,65,0.276923077,2015,0,"NO"
"1430","Wesley Johnson",9.907894737,1.631578947,4.197368421,20,76,0.263157895,2015,0,"NO"
"1431","Wesley Matthews",15.93333333,2.316666667,3.7,41,60,0.683333333,2015,0,"NO"
"1432","Will Barton",6.844827586,1.396551724,2.793103448,30,58,0.517241379,2015,0,"NO"
"1433","Will Bynum",3.142857143,2.571428571,0.857142857,4,7,0.571428571,2015,0,"NO"
"1434","Will Cherry",1.875,1,0.625,6,8,0.75,2015,0,"NO"
"1435","Willie Green",5.884615385,1.307692308,1.519230769,15,52,0.288461538,2015,0,"NO"
"1436","Wilson Chandler",13.91025641,1.717948718,6.08974359,28,78,0.358974359,2015,0,"NO"
"1437","Xavier Henry",2.222222222,0.333333333,0.444444444,1,9,0.111111111,2015,0,"NO"
"1438","Zach LaVine",10.1038961,3.584415584,2.779220779,15,77,0.194805195,2015,0,"NO"
"1439","Zach Randolph",16.09859155,2.154929577,10.52112676,51,71,0.718309859,2015,0,"NO"
"1440","Zaza Pachulia",8.301369863,2.438356164,6.849315068,34,73,0.465753425,2015,0,"NO"
"1441","Zoran Dragic",1.75,0.3125,0.5,6,16,0.375,2015,0,"NO"
"1442","Aaron Brooks",7.115942029,2.608695652,1.463768116,36,69,0.52173913,2016,0,"NO"
"1443","Aaron Gordon",9.217948718,1.641025641,6.5,32,78,0.41025641,2016,0,"NO"
"1444","Aaron Harrison",0.857142857,0.095238095,0.714285714,15,21,0.714285714,2016,0,"NO"
"1445","Adreian Payne",2.538461538,0.557692308,2.134615385,18,52,0.346153846,2016,0,"NO"
"1446","Al-Farouq Aminu",10.23170732,1.682926829,6.085365854,44,82,0.536585366,2016,0,"NO"
"1447","Al Horford",15.23170732,3.207317073,7.268292683,48,82,0.585365854,2016,0,"NO"
"1448","Al Jefferson",11.95744681,1.489361702,6.404255319,33,47,0.70212766,2016,0,"NO"
"1449","Alan Anderson",5,1.076923077,2.076923077,8,13,0.615384615,2016,0,"NO"
"1450","Alan Williams",2.9,0.5,3.8,3,10,0.3,2016,0,"NO"
"1451","Alec Burks",13.29032258,2.032258065,3.516129032,13,31,0.419354839,2016,0,"NO"
"1452","Alex Len",9.012820513,1.243589744,7.615384615,23,78,0.294871795,2016,0,"NO"
"1453","Alex Stepheson",2.75,0.25,3.5,2,8,0.25,2016,0,"NO"
"1454","Alexis Ajinca",5.966101695,0.525423729,4.559322034,20,59,0.338983051,2016,0,"NO"
"1455","Allen Crabbe",10.27160494,1.222222222,2.666666667,43,81,0.530864198,2016,0,"NO"
"1456","Alonzo Gee",4.452054795,0.98630137,3.356164384,27,73,0.369863014,2016,0,"NO"
"1457","Amar'e Stoudemire",5.769230769,0.519230769,4.269230769,30,52,0.576923077,2016,0,"NO"
"1458","Amir Johnson",7.303797468,1.746835443,6.392405063,45,79,0.569620253,2016,0,"NO"
"1459","Anderson Varejao",2.603773585,0.660377358,2.660377358,41,53,0.773584906,2016,0,"NO"
"1460","Andre Drummond",16.22222222,0.827160494,14.79012346,43,81,0.530864198,2016,0,"NO"
"1461","Andre Iguodala",7.030769231,3.369230769,4.046153846,59,65,0.907692308,2016,0,"NO"
"1462","Andre Miller",3.692307692,2.230769231,1.307692308,20,39,0.512820513,2016,0,"NO"
"1463","Andre Roberson",4.814285714,0.671428571,3.585714286,48,70,0.685714286,2016,0,"NO"
"1464","Andrea Bargnani",6.608695652,0.391304348,2.108695652,11,46,0.239130435,2016,0,"NO"
"1465","Andrew Bogut",5.357142857,2.314285714,7.028571429,62,70,0.885714286,2016,0,"NO"
"1466","Andrew Goudelock",2.75,0.5,0.25,5,8,0.625,2016,0,"NO"
"1467","Andrew Nicholson",6.857142857,0.446428571,3.589285714,22,56,0.392857143,2016,0,"NO"
"1468","Andrew Wiggins",20.67901235,2.024691358,3.592592593,29,81,0.358024691,2016,0,"NO"
"1469","Anthony Bennett",1.473684211,0,1.210526316,12,19,0.631578947,2016,0,"NO"
"1470","Anthony Brown",3.965517241,0.655172414,2.413793103,4,29,0.137931034,2016,0,"NO"
"1471","Anthony Davis",24.27868852,1.901639344,10.27868852,24,61,0.393442623,2016,0,"NO"
"1472","Anthony Morrow",5.588235294,0.352941176,0.911764706,46,68,0.676470588,2016,0,"NO"
"1473","Anthony Tolliver",5.319444444,0.722222222,3.180555556,36,72,0.5,2016,0,"NO"
"1474","Archie Goodwin",8.859649123,2.070175439,2.49122807,14,57,0.245614035,2016,0,"NO"
"1475","Aron Baynes",6.345679012,0.62962963,4.740740741,43,81,0.530864198,2016,0,"NO"
"1476","Arron Afflalo",12.8028169,2.028169014,3.746478873,27,71,0.38028169,2016,0,"NO"
"1477","Austin Rivers",8.850746269,1.47761194,1.940298507,42,67,0.626865672,2016,0,"NO"
"1478","Avery Bradley",15.19736842,2.078947368,2.894736842,45,76,0.592105263,2016,0,"NO"
"1479","Axel Toupane",3.619047619,0.714285714,1.476190476,9,21,0.428571429,2016,0,"NO"
"1480","Ben McLemore",7.808823529,1.161764706,2.176470588,28,68,0.411764706,2016,0,"NO"
"1481","Beno Udrih",4.659090909,2.636363636,1.636363636,26,44,0.590909091,2016,0,"NO"
"1482","Bismack Biyombo",5.536585366,0.353658537,7.987804878,56,82,0.682926829,2016,0,"NO"
"1483","Blake Griffin",21.4,4.857142857,8.4,22,35,0.628571429,2016,0,"NO"
"1484","Boban Marjanovic",5.5,0.388888889,3.592592593,47,54,0.87037037,2016,0,"NO"
"1485","Bobby Portis",7.032258065,0.838709677,5.435483871,29,62,0.467741935,2016,0,"NO"
"1486","Bojan Bogdanovic",11.2278481,1.253164557,3.227848101,21,79,0.265822785,2016,0,"NO"
"1487","Boris Diaw",6.381578947,2.315789474,3.065789474,64,76,0.842105263,2016,0,"NO"
"1488","Bradley Beal",17.41818182,2.945454545,3.418181818,28,55,0.509090909,2016,0,"NO"
"1489","Brandan Wright",6.916666667,0.5,3.583333333,6,12,0.5,2016,0,"NO"
"1490","Branden Dawson",0.833333333,0,0.666666667,5,6,0.833333333,2016,0,"NO"
"1491","Brandon Bass",7.166666667,1.121212121,4.318181818,16,66,0.242424242,2016,0,"NO"
"1492","Brandon Jennings",6.916666667,3.541666667,2,20,48,0.416666667,2016,0,"NO"
"1493","Brandon Knight",19.57692308,5.057692308,3.884615385,16,52,0.307692308,2016,0,"NO"
"1494","Brandon Rush",4.236111111,0.791666667,2.513888889,63,72,0.875,2016,0,"NO"
"1495","Brian Roberts",4.019607843,1.058823529,0.803921569,26,51,0.509803922,2016,0,"NO"
"1496","Briante Weber",4.428571429,3,3.571428571,3,7,0.428571429,2016,0,"NO"
"1497","Brook Lopez",20.56164384,2,7.849315068,21,73,0.287671233,2016,0,"NO"
"1498","Bruno Caboclo",0.5,0.166666667,0.333333333,6,6,1,2016,0,"NO"
"1499","Bryce Cotton",1,0.375,0,1,8,0.125,2016,0,"NO"
"1500","Bryce Dejean-Jones",5.642857143,1.071428571,3.428571429,8,14,0.571428571,2016,0,"NO"
"1501","C.J. Watson",4.303030303,2.666666667,2,14,33,0.424242424,2016,0,"NO"
"1502","C.J. Wilcox",3.043478261,0.434782609,0.52173913,15,23,0.652173913,2016,0,"NO"
"1503","Cameron Bairstow",1.888888889,0.333333333,1.555555556,4,18,0.222222222,2016,0,"NO"
"1504","Cameron Payne",4.964912281,1.894736842,1.49122807,44,57,0.771929825,2016,0,"NO"
"1505","Carl Landry",9.75,0.888888889,4.055555556,5,36,0.138888889,2016,0,"NO"
"1506","Carmelo Anthony",21.84722222,4.152777778,7.722222222,32,72,0.444444444,2016,0,"NO"
"1507","Caron Butler",3.705882353,0.588235294,1.294117647,2,17,0.117647059,2016,0,"NO"
"1508","Chandler Parsons",13.72131148,2.770491803,4.672131148,29,61,0.475409836,2016,0,"NO"
"1509","Channing Frye",6.071428571,1.014285714,3.342857143,35,70,0.5,2016,0,"NO"
"1510","Charlie Villanueva",5.14516129,0.387096774,2.451612903,29,62,0.467741935,2016,0,"NO"
"1511","Chase Budinger",4.106060606,0.96969697,2.272727273,29,66,0.439393939,2016,0,"NO"
"1512","Chris Andersen",3.888888889,0.444444444,3.62962963,11,27,0.407407407,2016,0,"NO"
"1513","Chris Bosh",19.05660377,2.41509434,7.358490566,29,53,0.547169811,2016,0,"NO"
"1514","Chris Copeland",2.083333333,0.458333333,0.416666667,10,24,0.416666667,2016,0,"NO"
"1515","Chris Johnson",2.928571429,0.642857143,1.885714286,38,70,0.542857143,2016,0,"NO"
"1516","Chris Kaman",2.75,0.6875,1.5,11,16,0.6875,2016,0,"NO"
"1517","Chris McCullough",4.666666667,0.375,2.833333333,7,24,0.291666667,2016,0,"NO"
"1518","Chris Paul",19.54054054,9.972972973,4.189189189,50,74,0.675675676,2016,0,"NO"
"1519","Christian Wood",3.588235294,0.176470588,2.235294118,0,17,0,2016,0,"NO"
"1520","Chuck Hayes",2,1,4,1,2,0.5,2016,0,"NO"
"1521","CJ McCollum",20.825,4.2625,3.2375,44,80,0.55,2016,0,"NO"
"1522","CJ Miles",11.765625,0.984375,2.734375,34,64,0.53125,2016,0,"NO"
"1523","Cleanthony Early",1.823529412,0.352941176,1.529411765,6,17,0.352941176,2016,0,"NO"
"1524","Cliff Alexander",1.25,0,0.75,3,8,0.375,2016,0,"NO"
"1525","Clint Capela",7.038961039,0.61038961,6.415584416,39,77,0.506493506,2016,0,"NO"
"1526","Cody Zeller",8.739726027,0.97260274,6.232876712,42,73,0.575342466,2016,0,"NO"
"1527","Cole Aldrich",5.466666667,0.833333333,4.8,41,60,0.683333333,2016,0,"NO"
"1528","Corey Brewer",7.195121951,1.329268293,2.426829268,41,82,0.5,2016,0,"NO"
"1529","Cory Jefferson",2.75,0,2,2,8,0.25,2016,0,"NO"
"1530","Cory Joseph",8.4625,3.125,2.625,54,80,0.675,2016,0,"NO"
"1531","Coty Clarke",2,0,0.333333333,0,3,0,2016,0,"NO"
"1532","Courtney Lee",9.632911392,1.721518987,2.594936709,49,79,0.620253165,2016,0,"NO"
"1533","Cristiano Felicio",3.387096774,0.838709677,3.290322581,14,31,0.451612903,2016,0,"NO"
"1534","D'Angelo Russell",13.175,3.325,3.425,17,80,0.2125,2016,0,"NO"
"1535","D.J. Augustin",7.532258065,3.193548387,1.532258065,35,62,0.564516129,2016,0,"NO"
"1536","Dahntay Jones",13,2,5,0,1,0,2016,0,"NO"
"1537","Damian Lillard",25.05333333,6.826666667,4.026666667,40,75,0.533333333,2016,0,"NO"
"1538","Damien Inglis",1.8,0.5,1.55,5,20,0.25,2016,0,"NO"
"1539","Damjan Rudez",2.272727273,0.333333333,0.606060606,9,33,0.272727273,2016,0,"NO"
"1540","Danilo Gallinari",19.54716981,2.547169811,5.301886792,22,53,0.41509434,2016,0,"NO"
"1541","Danny Green",7.240506329,1.784810127,3.835443038,65,79,0.82278481,2016,0,"NO"
"1542","Dante Cunningham",6.05,0.9625,2.95,28,80,0.35,2016,0,"NO"
"1543","Darrell Arthur",7.528571429,1.371428571,4.185714286,26,70,0.371428571,2016,0,"NO"
"1544","Darren Collison",13.98648649,4.297297297,2.283783784,29,74,0.391891892,2016,0,"NO"
"1545","Darrun Hilliard",4,0.710526316,1.184210526,17,38,0.447368421,2016,0,"NO"
"1546","David Lee",7.763636364,1.527272727,5.545454545,27,55,0.490909091,2016,0,"NO"
"1547","David West",7.102564103,1.833333333,3.961538462,63,78,0.807692308,2016,0,"NO"
"1548","DeAndre Jordan",12.72727273,1.168831169,13.75324675,51,77,0.662337662,2016,0,"NO"
"1549","DeJuan Blair",2.103448276,0.379310345,1.965517241,12,29,0.413793103,2016,0,"NO"
"1550","Delon Wright",3.814814815,1.148148148,1.37037037,19,27,0.703703704,2016,0,"NO"
"1551","DeMar DeRozan",23.46153846,4.038461538,4.474358974,53,78,0.679487179,2016,0,"NO"
"1552","DeMarcus Cousins",26.89230769,3.292307692,11.49230769,29,65,0.446153846,2016,0,"NO"
"1553","DeMarre Carroll",11,1.038461538,4.692307692,16,26,0.615384615,2016,0,"NO"
"1554","Dennis Schroder",10.9875,4.3625,2.55,47,80,0.5875,2016,0,"NO"
"1555","Deron Williams",14.12307692,5.815384615,2.923076923,31,65,0.476923077,2016,0,"NO"
"1556","Derrick Favors",16.38709677,1.516129032,8.112903226,30,62,0.483870968,2016,0,"NO"
"1557","Derrick Rose",16.36363636,4.712121212,3.409090909,32,66,0.484848485,2016,0,"NO"
"1558","Derrick Williams",9.325,0.9375,3.7,32,80,0.4,2016,0,"NO"
"1559","Devin Booker",13.78947368,2.631578947,2.460526316,20,76,0.263157895,2016,0,"NO"
"1560","Devin Harris",7.609375,1.84375,2.15625,35,64,0.546875,2016,0,"NO"
"1561","Devyn Marble",2.142857143,0.428571429,1.357142857,12,28,0.428571429,2016,0,"NO"
"1562","Dewayne Dedmon",4.396551724,0.224137931,3.931034483,21,58,0.362068966,2016,0,"NO"
"1563","Dion Waiters",9.769230769,1.974358974,2.58974359,53,78,0.679487179,2016,0,"NO"
"1564","Dirk Nowitzki",18.29333333,1.76,6.52,38,75,0.506666667,2016,0,"NO"
"1565","Donald Sloan",6.950819672,4.393442623,2.836065574,13,61,0.213114754,2016,0,"NO"
"1566","Donatas Motiejunas",6.216216216,1.108108108,2.945945946,19,37,0.513513514,2016,0,"NO"
"1567","Doug McDermott",9.432098765,0.728395062,2.407407407,41,81,0.50617284,2016,0,"NO"
"1568","Draymond Green",13.96296296,7.382716049,9.49382716,73,81,0.901234568,2016,0,"NO"
"1569","Drew Gooden",2.733333333,0.433333333,2.833333333,18,30,0.6,2016,0,"NO"
"1570","Duje Dukan",6,1,4,0,1,0,2016,0,"NO"
"1571","Dwight Howard",13.74647887,1.38028169,11.76056338,34,71,0.478873239,2016,0,"NO"
"1572","Dwight Powell",5.782608696,0.637681159,3.956521739,35,69,0.507246377,2016,0,"NO"
"1573","Dwyane Wade",19.04054054,4.648648649,4.081081081,43,74,0.581081081,2016,0,"NO"
"1574","E'Twaun Moore",7.508474576,1.677966102,2.254237288,29,59,0.491525424,2016,0,"NO"
"1575","Ed Davis",6.49382716,1.086419753,7.395061728,43,81,0.530864198,2016,0,"NO"
"1576","Edy Tavares",2.272727273,0.272727273,1.909090909,7,11,0.636363636,2016,0,"NO"
"1577","Elfrid Payton",10.65753425,6.397260274,3.575342466,32,73,0.438356164,2016,0,"NO"
"1578","Elijah Millsap",1.8,0.95,1.75,9,20,0.45,2016,0,"NO"
"1579","Elliot Williams",1.6,0.8,0.8,4,5,0.8,2016,0,"NO"
"1580","Elton Brand",4.117647059,1.058823529,3.705882353,2,17,0.117647059,2016,0,"NO"
"1581","Emmanuel Mudiay",12.82352941,5.470588235,3.411764706,29,68,0.426470588,2016,0,"NO"
"1582","Enes Freedom",12.65853659,0.402439024,8.097560976,55,82,0.670731707,2016,0,"NO"
"1583","Eric Bledsoe",20.38709677,6.129032258,4.032258065,12,31,0.387096774,2016,0,"NO"
"1584","Eric Gordon",15.24444444,2.688888889,2.2,14,45,0.311111111,2016,0,"NO"
"1585","Eric Moreland",1,0.125,1.375,1,8,0.125,2016,0,"NO"
"1586","Erick Green",1.444444444,0.333333333,0.666666667,6,9,0.666666667,2016,0,"NO"
"1587","Ersan Ilyasova",10.36486486,0.905405405,5.445945946,35,74,0.472972973,2016,0,"NO"
"1588","Evan Fournier",15.35443038,2.708860759,2.848101266,33,79,0.417721519,2016,0,"NO"
"1589","Evan Turner",10.54320988,4.432098765,4.901234568,47,81,0.580246914,2016,0,"NO"
"1590","Festus Ezeli",6.956521739,0.695652174,5.586956522,42,46,0.913043478,2016,0,"NO"
"1591","Frank Kaminsky",7.481481481,1.209876543,4.135802469,47,81,0.580246914,2016,0,"NO"
"1592","Garrett Temple",7.275,1.75,2.65,40,80,0.5,2016,0,"NO"
"1593","Gary Harris",12.26315789,1.934210526,2.894736842,31,76,0.407894737,2016,0,"NO"
"1594","Gary Neal",9.75,1.175,2.075,18,40,0.45,2016,0,"NO"
"1595","George Hill",12.08108108,3.5,4.027027027,41,74,0.554054054,2016,0,"NO"
"1596","Gerald Green",8.927536232,0.811594203,2.362318841,40,69,0.579710145,2016,0,"NO"
"1597","Gerald Henderson",8.666666667,1.041666667,2.930555556,39,72,0.541666667,2016,0,"NO"
"1598","Giannis Antetokounmpo",16.875,4.3125,7.65,32,80,0.4,2016,0,"NO"
"1599","Glenn Robinson III",3.8,0.577777778,1.511111111,24,45,0.533333333,2016,0,"NO"
"1600","Goran Dragic",14.13888889,5.819444444,3.847222222,44,72,0.611111111,2016,0,"NO"
"1601","Gordon Hayward",19.725,3.7,4.9625,38,80,0.475,2016,0,"NO"
"1602","Gorgui Dieng",10.08536585,1.743902439,7.134146341,29,82,0.353658537,2016,0,"NO"
"1603","Greg Monroe",15.3164557,2.253164557,8.810126582,32,79,0.405063291,2016,0,"NO"
"1604","Greg Smith",2.388888889,0.333333333,2.333333333,8,18,0.444444444,2016,0,"NO"
"1605","Greivis Vasquez",5.652173913,3.956521739,2.043478261,9,23,0.391304348,2016,0,"NO"
"1606","Harrison Barnes",11.72727273,1.772727273,4.924242424,59,66,0.893939394,2016,0,"NO"
"1607","Hassan Whiteside",14.24657534,0.397260274,11.84931507,42,73,0.575342466,2016,0,"NO"
"1608","Henry Sims",6.5,0.642857143,5.142857143,2,14,0.142857143,2016,0,"NO"
"1609","Hollis Thompson",9.844155844,1.285714286,3.532467532,10,77,0.12987013,2016,0,"NO"
"1610","Ian Clark",3.575757576,0.96969697,1.03030303,59,66,0.893939394,2016,0,"NO"
"1611","Ian Mahinmi",9.295774648,1.464788732,7.14084507,41,71,0.577464789,2016,0,"NO"
"1612","Iman Shumpert",5.759259259,1.703703704,3.759259259,39,54,0.722222222,2016,0,"NO"
"1613","Isaiah Canaan",10.98701299,1.779220779,2.25974026,10,77,0.12987013,2016,0,"NO"
"1614","Isaiah Thomas",22.23170732,6.207317073,2.963414634,48,82,0.585365854,2016,0,"NO"
"1615","Ish Smith",12.62337662,6.519480519,3.961038961,16,77,0.207792208,2016,0,"NO"
"1616","J.J. Barea",10.91891892,4.081081081,2.054054054,38,74,0.513513514,2016,0,"NO"
"1617","Jabari Parker",14.07894737,1.710526316,5.197368421,32,76,0.421052632,2016,0,"NO"
"1618","Jae Crowder",14.21917808,1.849315068,5.109589041,43,73,0.589041096,2016,0,"NO"
"1619","Jahlil Okafor",17.50943396,1.226415094,7.037735849,6,53,0.113207547,2016,0,"NO"
"1620","JaKarr Sampson",5.123287671,0.630136986,2.602739726,18,73,0.246575342,2016,0,"NO"
"1621","Jamal Crawford",14.17721519,2.316455696,1.835443038,51,79,0.64556962,2016,0,"NO"
"1622","Jameer Nelson",7.666666667,4.871794872,2.948717949,12,39,0.307692308,2016,0,"NO"
"1623","James Anderson",3.509803922,0.803921569,1.68627451,19,51,0.37254902,2016,0,"NO"
"1624","James Ennis III",7.227272727,0.954545455,1.909090909,11,22,0.5,2016,0,"NO"
"1625","James Harden",28.97560976,7.463414634,6.109756098,41,82,0.5,2016,0,"NO"
"1626","James Johnson",5.035087719,1.175438596,2.210526316,35,57,0.614035088,2016,0,"NO"
"1627","James Jones",3.708333333,0.291666667,1.041666667,33,48,0.6875,2016,0,"NO"
"1628","James Michael McAdoo",2.853658537,0.414634146,1.414634146,37,41,0.902439024,2016,0,"NO"
"1629","James Young",1,0.310344828,0.896551724,12,29,0.413793103,2016,0,"NO"
"1630","JaMychal Green",7.41025641,0.858974359,4.782051282,39,78,0.5,2016,0,"NO"
"1631","Jared Cunningham",2.727272727,0.454545455,0.863636364,31,44,0.704545455,2016,0,"NO"
"1632","Jared Dudley",7.87654321,2.111111111,3.530864198,40,81,0.49382716,2016,0,"NO"
"1633","Jared Sullinger",10.2962963,2.308641975,8.308641975,47,81,0.580246914,2016,0,"NO"
"1634","Jarell Eddie",2.423076923,0.192307692,0.884615385,13,26,0.5,2016,0,"NO"
"1635","Jarell Martin",5.666666667,0.555555556,3.185185185,10,27,0.37037037,2016,0,"NO"
"1636","Jarnell Stokes",1,0.142857143,0.571428571,1,7,0.142857143,2016,0,"NO"
"1637","Jarrett Jack",12.84375,7.375,4.25,10,32,0.3125,2016,0,"NO"
"1638","Jason Smith",7.184210526,0.815789474,2.881578947,33,76,0.434210526,2016,0,"NO"
"1639","Jason Terry",5.861111111,1.430555556,1.097222222,37,72,0.513888889,2016,0,"NO"
"1640","Jason Thompson",3.127659574,0.617021277,2.85106383,38,47,0.808510638,2016,0,"NO"
"1641","JaVale McGee",5.058823529,0.088235294,3.911764706,15,34,0.441176471,2016,0,"NO"
"1642","Jeff Ayres",1.764705882,0.294117647,1.294117647,11,17,0.647058824,2016,0,"NO"
"1643","Jeff Green",11.7375,1.725,4.15,48,80,0.6,2016,0,"NO"
"1644","Jeff Teague",15.6835443,5.949367089,2.708860759,47,79,0.594936709,2016,0,"NO"
"1645","Jeff Withey",4.254901961,0.392156863,3.392156863,25,51,0.490196078,2016,0,"NO"
"1646","Jerami Grant",9.727272727,1.753246753,4.688311688,9,77,0.116883117,2016,0,"NO"
"1647","Jeremy Evans",2.366666667,0.066666667,1.8,16,30,0.533333333,2016,0,"NO"
"1648","Jeremy Lamb",8.787878788,1.166666667,3.818181818,40,66,0.606060606,2016,0,"NO"
"1649","Jeremy Lin",11.71794872,3.012820513,3.243589744,47,78,0.602564103,2016,0,"NO"
"1650","Jerian Grant",5.605263158,2.328947368,1.881578947,29,76,0.381578947,2016,0,"NO"
"1651","Jerryd Bayless",10.40384615,3.134615385,2.711538462,21,52,0.403846154,2016,0,"NO"
"1652","Jimmer Fredette",1.5,0.166666667,0,1,6,0.166666667,2016,0,"NO"
"1653","Jimmy Butler",20.88059701,4.791044776,5.343283582,37,67,0.552238806,2016,0,"NO"
"1654","JJ Hickson",5.885714286,0.657142857,3.771428571,17,35,0.485714286,2016,0,"NO"
"1655","JJ O'Brien",0,0,0.5,2,2,1,2016,0,"NO"
"1656","JJ Redick",16.34666667,1.413333333,1.853333333,50,75,0.666666667,2016,0,"NO"
"1657","Joakim Noah",4.275862069,3.793103448,8.793103448,15,29,0.517241379,2016,0,"NO"
"1658","Jodie Meeks",7.333333333,1,1.666666667,3,3,1,2016,0,"NO"
"1659","Joe Harris",0.6,0.4,0.6,5,5,1,2016,0,"NO"
"1660","Joe Ingles",4.222222222,1.185185185,1.864197531,40,81,0.49382716,2016,0,"NO"
"1661","Joe Johnson",12.24691358,3.925925926,3.604938272,31,81,0.382716049,2016,0,"NO"
"1662","Joe Young",3.756097561,1.585365854,1.219512195,19,41,0.463414634,2016,0,"NO"
"1663","Joel Anthony",0.947368421,0.052631579,1.105263158,12,19,0.631578947,2016,0,"NO"
