"","names","pts","ast","reb","wins","total_games","win_pct","year","mvp","is_mvp"
"508","Arron Afflalo",18.21917808,3.397260274,3.589041096,21,73,0.287671233,2014,0,"NO"
"509","Austin Daye",3,0.363636364,1.227272727,16,22,0.727272727,2014,0,"NO"
"510","Austin Rivers",7.68115942,2.31884058,1.869565217,27,69,0.391304348,2014,0,"NO"
"511","Avery Bradley",14.85,1.416666667,3.766666667,19,60,0.316666667,2014,0,"NO"
"512","Ben Gordon",5.210526316,1.105263158,1.421052632,8,19,0.421052632,2014,0,"NO"
"513","Ben McLemore",8.780487805,1,2.865853659,28,82,0.341463415,2014,0,"NO"
"514","Beno Udrih",4.87804878,2.829268293,1.43902439,18,41,0.43902439,2014,0,"NO"
"515","Bernard James",0.933333333,0.1,1.4,17,30,0.566666667,2014,0,"NO"
"516","Bismack Biyombo",2.883116883,0.103896104,4.753246753,42,77,0.545454545,2014,0,"NO"
"517","Blake Griffin",24.125,3.8625,9.4625,56,80,0.7,2014,0,"NO"
"518","Boris Diaw",9.075949367,2.810126582,4.126582278,60,79,0.759493671,2014,0,"NO"
"519","Bradley Beal",17.10958904,3.328767123,3.739726027,40,73,0.547945205,2014,0,"NO"
"520","Brandan Wright",9.051724138,0.534482759,4.206896552,36,58,0.620689655,2014,0,"NO"
"521","Brandon Bass",11.1097561,1.06097561,5.731707317,25,82,0.304878049,2014,0,"NO"
"522","Brandon Davies",2.823529412,0.549019608,2.137254902,15,51,0.294117647,2014,0,"NO"
"523","Brandon Jennings",15.5125,7.6125,3.05,28,80,0.35,2014,0,"NO"
"524","Brandon Knight",17.93055556,4.888888889,3.541666667,13,72,0.180555556,2014,0,"NO"
"525","Brandon Rush",2.078947368,0.631578947,1.157894737,13,38,0.342105263,2014,0,"NO"
"526","Brian Roberts",9.402777778,3.25,1.888888889,28,72,0.388888889,2014,0,"NO"
"527","Brook Lopez",20.70588235,0.941176471,6,7,17,0.411764706,2014,0,"NO"
"528","Byron Mullens",4.2,0.311111111,2.044444444,16,45,0.355555556,2014,0,"NO"
"529","C.J. Watson",6.571428571,1.698412698,1.603174603,48,63,0.761904762,2014,0,"NO"
"530","Carl Landry",4.222222222,0.277777778,3.166666667,5,18,0.277777778,2014,0,"NO"
"531","Carlos Boozer",13.71052632,1.552631579,8.315789474,43,76,0.565789474,2014,0,"NO"
"532","Carmelo Anthony",27.42857143,3.142857143,8.077922078,35,77,0.454545455,2014,0,"NO"
"533","Caron Butler",10.48214286,1.464285714,4.089285714,21,56,0.375,2014,0,"NO"
"534","Carrick Felix",2.714285714,0.571428571,0.857142857,2,7,0.285714286,2014,0,"NO"
"535","Cartier Martin",5.576271186,0.559322034,1.86440678,27,59,0.457627119,2014,0,"NO"
"536","Casper Ware",5.333333333,1.111111111,1,3,9,0.333333333,2014,0,"NO"
"537","Chandler Parsons",16.56756757,4.027027027,5.527027027,50,74,0.675675676,2014,0,"NO"
"538","Channing Frye",11.09756098,1.195121951,5.073170732,48,82,0.585365854,2014,0,"NO"
"539","Charlie Villanueva",4.6,0.3,1.7,5,20,0.25,2014,0,"NO"
"540","Chase Budinger",6.682926829,0.756097561,2.512195122,21,41,0.512195122,2014,0,"NO"
"541","Chauncey Billups",3.789473684,2.210526316,1.473684211,7,19,0.368421053,2014,0,"NO"
"542","Chris Andersen",6.625,0.263888889,5.263888889,49,72,0.680555556,2014,0,"NO"
"543","Chris Babb",1.571428571,0.214285714,1.214285714,3,14,0.214285714,2014,0,"NO"
"544","Chris Bosh",16.21518987,1.101265823,6.607594937,53,79,0.670886076,2014,0,"NO"
"545","Chris Copeland",3.731707317,0.43902439,0.780487805,25,41,0.609756098,2014,0,"NO"
"546","Chris Douglas-Roberts",6.918367347,1.040816327,2.428571429,27,49,0.551020408,2014,0,"NO"
"547","Chris Johnson",6.25,0.775,2.425,11,40,0.275,2014,0,"NO"
