,player_name,season,season_type,team,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact,pts,ast,reb,wins,total_games,win_pct,year
35,Deandre Ayton,2022,RS,PHO,3591,1713,-1.272947719935458,1.813384828393432,0.5404371084579735,2.180640615194045,-1.540369304473615,0.6402713107204296,-0.6782421195940518,1.1372230633050449,0.4589809437109931,2.799981065293448,2.799981065293448,0.0,-0.6199800186040451,1.3631253708153273,0.7431453522112822,-0.1633226813842348,14.555555555555598,1.55555555555556,7.55555555555556,6.0,9.0,0.666666666666667,2023.0
36,Udoka Azubuike,2022,RS,UTA,410,195,-4.622684742360222,3.303255613772121,-1.3194291285881008,-3.80426459071387,3.19849443515918,-0.6057701555546906,-4.788555247963725,3.4751166485825564,-1.313438599381169,0.14274316679493,0.14274316679493,0.0,-5.132421007787338,1.4833080005552381,-3.6491130072321005,-0.1251699910901752,2.0,0.25,2.0,3.0,4.0,0.75,2023.0
41,Mo Bamba,2022,RS,ORL,3805,1824,-1.795172159942673,0.9085003625206448,-0.8866717974220282,-3.212977705522543,-0.9858875892933529,-4.198865294815897,-2.114574057676145,0.584924445049678,-1.5296496126264667,1.136567678060403,1.136567678060403,0.0,-2.4597546988784216,0.7403039184092018,-1.71945078046922,0.0795812747287766,6.0,0.9090909090909091,3.54545454545455,3.0,11.0,0.272727272727273,2023.0
43,Desmond Bane,2022,RS,MEM,4755,2266,2.6370079250538043,0.8742887695379364,3.5112966945917408,2.1971946182544433,-0.6954037790227282,1.5017908392317152,2.658299619907,0.5568298757916109,3.215129495698611,6.8707361567147505,6.8707361567147505,0.0,3.068222408093257,1.3651804751252978,4.433402883218555,-0.37163823010458397,24.7272727272727,4.72727272727273,5.09090909090909,8.0,11.0,0.7272727272727271,2023.0
45,Dalano Banton,2022,RS,TOR,1447,696,-2.700676642992589,0.0217929720702364,-2.678883670922353,-2.179422820493897,1.125848467631554,-1.0535743528623431,-2.776840463057987,0.2328060852641362,-2.544034377793851,0.0729126442879637,0.0729126442879637,0.0,-2.808906381749904,-0.2417360846106001,-3.050642466360504,-0.3084431595359716,4.09090909090909,0.7272727272727271,1.09090909090909,6.0,11.0,0.545454545454545,2023.0
47,Harrison Barnes,2022,RS,SAC,5451,2587,1.189735558069012,-0.7124670393245851,0.4772685187444266,0.6692410757930245,-5.3568920607789465,-4.687650984985921,1.178854744061554,-1.690969927659564,-0.5121151835980102,2.967496496799782,2.967496496799782,0.0,0.6759657104881359,-2.121708212816213,-1.445742502328077,0.4652015782377242,10.9,2.0,5.7,4.0,10.0,0.4,2023.0
49,Scottie Barnes,2022,RS,TOR,5290,2617,0.6690138584410068,1.0235581529976991,1.692572011438706,-2.694936779760059,-0.4989606945117018,-3.193897474271761,-0.0071622715746035,0.7509847350190532,0.7438224634444497,4.637327677251969,4.637327677251969,0.0,0.2958444040830984,2.1355345001033093,2.431378904186408,-0.5916876934813069,14.1818181818182,5.0,6.72727272727273,6.0,11.0,0.545454545454545,2023.0
50,RJ Barrett,2022,RS,NYK,4924,2417,-0.3239711251724529,-0.5690805749464078,-0.8930517001188607,-2.017178727792722,-1.9978500731808897,-4.015028800973612,-0.6563549406036079,-0.9226728889697248,-1.5790278295733329,1.4538696857881752,1.4538696857881752,0.0,-0.4991475987324305,-0.716531631806331,-1.2156792305387618,0.6843307575943436,19.272727272727302,2.90909090909091,5.81818181818182,5.0,11.0,0.45454545454545503,2023.0
52,Will Barton,2022,RS,DEN,4712,2277,-0.1238821098627494,-0.9952579343490208,-1.11914004421177,-2.334673122082104,-0.3151077200146892,-2.649780842096793,-0.6347872659278284,-0.9036362726547981,-1.538423538582626,1.4059697373241329,1.4059697373241329,0.0,-0.1008370616658391,-1.227514481433969,-1.3283515430998079,-0.1100842161102062,8.81818181818182,2.45454545454545,3.18181818181818,5.0,11.0,0.45454545454545503,2023.0
54,Charles Bassey,2022,RS,PHI,350,168,-1.0125977782254079,2.837486131514815,1.824888353289406,-6.902931389203519,0.6260272217715076,-6.276904167432011,-2.306872902036178,2.54731327531157,0.2404403732753915,0.2565820888796967,0.2565820888796967,0.0,-2.119447540917039,1.541115186527346,-0.5783323543896937,0.1017029297984405,7.33333333333333,1.0,6.0,0.0,3.0,0.0,2023.0
56,Keita Bates-Diop,2022,RS,SAS,2037,956,-2.5201706076976333,0.5997986174310057,-1.920371990266627,-2.066031574713461,2.526997623889315,0.46096604917585404,-2.576078240324808,1.0382935211456379,-1.5377847191791698,0.5898405207718032,0.5898405207718032,0.0,-2.9336601583958832,-0.3686654599427812,-3.3023256183386636,-0.2399924125119536,7.27272727272727,0.45454545454545503,2.2727272727272703,5.0,11.0,0.45454545454545503,2023.0
57,Nicolas Batum,2022,RS,LAC,3038,1462,-0.8701421306121786,2.085187927380609,1.2150457967684298,-4.028984757575313,-0.2008282026196656,-4.2298129601949785,-1.563829036601105,1.709506444597252,0.1456774079961469,2.1672063162268134,2.1672063162268134,0.0,-1.277684994249494,1.947662640894888,0.6699776466453944,0.3372733537914067,3.8333333333333304,1.5833333333333302,3.6666666666666696,7.0,12.0,0.583333333333333,2023.0
59,Darius Bazley,2022,RS,OKC,4045,1924,-3.5822153886465187,0.0032280780199669,-3.5789873106265513,-3.2303393513811804,-3.7549888448479014,-6.985328196229083,-3.6337691649423998,-0.7608462760440569,-4.394615440986457,-1.6132048027892842,-1.6132048027892842,0.0,-3.881949823548072,-1.1553778582762628,-5.037327681824335,-0.0737449320221143,6.0,1.54545454545455,4.72727272727273,4.0,11.0,0.36363636363636404,2023.0
60,Bradley Beal,2022,RS,WAS,2979,1439,1.655043081275242,-0.2328448502404985,1.422198231034744,-1.803144923092333,3.705917654953992,1.9027727318616592,1.065695722855682,0.6023012111534801,1.6679969340091618,3.264921882632839,3.264921882632839,0.0,1.2791111802151478,0.1510845990744571,1.430195779289605,0.6575180816184828,21.5555555555556,5.66666666666667,3.55555555555556,4.0,9.0,0.444444444444444,2023.0
62,Malik Beasley,2022,RS,MIN,4250,1976,1.0351239406775392,-2.5522208983391166,-1.517096957661578,-0.7546150919838794,0.4190270133496348,-0.3355880786342447,0.6900004837893581,-2.072608493074018,-1.38260800928466,1.3802275307038891,1.3802275307038891,0.0,0.9185912620980451,-2.522246421558928,-1.6036551594608832,0.1221748431091921,11.4615384615385,1.0,3.23076923076923,10.0,13.0,0.7692307692307689,2023.0
70,Patrick Beverley,2022,RS,MIN,3108,1476,2.373536096308799,1.9843389149708608,4.35787501127966,-0.335860875878178,1.489229771832903,1.1533688959547252,1.925948917222583,1.996615281602066,3.9225641988246487,5.030521368155594,5.030521368155594,0.0,1.8107883239275042,2.565748735121613,4.376537059049117,0.1136832200820214,4.888888888888889,2.77777777777778,3.77777777777778,2.0,9.0,0.222222222222222,2023.0
71,Saddiq Bey,2022,RS,DET,5595,2704,0.3877585648258137,-2.033542386993972,-1.6457838221681582,-1.3999259578179228,-3.469282878083894,-4.869208835901818,0.1259407069586663,-2.419866248828346,-2.2939255418696805,0.6284311693347711,0.6284311693347711,0.0,-0.490088676964745,-2.299018748595956,-2.789107425560701,-0.1208564037661371,17.0833333333333,1.4166666666666698,4.75,3.0,12.0,0.25,2023.0
73,Khem Birch,2022,RS,TOR,2011,991,-2.1565748763804202,0.3604481916704922,-1.7961266847099284,1.4658594204671,-3.4695926853639136,-2.003733264896814,-1.560679099215321,-0.4328492715314,-1.993528370746721,0.3794356304777648,0.3794356304777648,0.0,-2.284690329445788,0.4241659065566253,-1.860524422889163,-0.7955264404905243,2.25,0.25,1.25,4.0,4.0,1.0,2023.0
74,Goga Bitadze,2022,RS,IND,1529,729,0.1881821614881688,-2.616450364138025,-2.428268202649856,1.5100658861068392,-2.3206555612328787,-0.8105896751260397,0.4793941832233858,-2.637143199107451,-2.157749015884066,0.2219588698245002,0.2219588698245002,0.0,0.3012072159709505,-3.089301275138067,-2.7880940591671157,0.7624747875582484,4.5,1.5,3.375,3.0,8.0,0.375,2023.0
76,Bismack Biyombo,2022,RS,PHO,1048,506,-2.289739152549854,0.4051328001489648,-1.88460635240089,-0.4976541516126039,0.4951125671813422,-0.0025415844312617,-2.092273405971335,0.3583475181826039,-1.733925887788731,0.2607063216496252,0.2607063216496252,0.0,-2.378593060394376,0.8717030071119289,-1.506890053282447,-0.6117307489622709,3.22222222222222,0.555555555555556,3.6666666666666696,6.0,9.0,0.666666666666667,2023.0
84,Bojan Bogdanovic,2022,RS,UTA,4377,2131,0.3407784151903153,-2.310776712739975,-1.96999829754966,0.8611185415804823,-2.387785960016765,-1.5266674184362832,0.3928496815289592,-2.505846236844315,-2.112996555315356,0.6960010248346086,0.6960010248346086,0.0,0.6616924780656289,-2.971638231374006,-2.309945753308377,0.49495398044377903,19.25,1.6666666666666698,3.0833333333333304,3.0,12.0,0.25,2023.0
85,Bol Bol,2022,RS,DEN,175,81,-5.0659854569551195,-1.0814372899446558,-6.1474227468997755,-3.1542643454137838,2.3899671685399895,-0.7642971768737952,-4.9979591508981915,-0.4301688320029806,-5.428127982901173,-0.1103744438762205,-0.1103744438762205,0.0,-4.746838343292784,-3.854494571772119,-8.601332915064901,-0.2732436314313704,11.333333333333302,0.5,6.83333333333333,3.0,12.0,0.25,2023.0
86,Leandro Bolmaro,2022,RS,MIN,530,241,-4.848980197452501,0.3733777828165536,-4.475602414635947,-5.817937893442442,6.812410412253241,0.994472518810798,-5.3738455992019585,1.744560615020618,-3.6292849841813415,-0.1082626008568364,-0.1082626008568364,0.0,-4.755073677256003,0.0508111989883487,-4.704262478267654,0.1362491197643708,1.33333333333333,0.666666666666667,0.33333333333333304,2.0,3.0,0.666666666666667,2023.0
90,Devin Booker,2022,RS,PHO,4945,2345,4.088976970672505,0.7539922417198859,4.842969212392392,4.667896911395681,-0.9791862037820313,3.688710707613649,4.368830697547423,0.38364956529800104,4.752480262845424,9.068928828093565,9.068928828093565,0.0,4.446570578204731,1.063693325651682,5.510263903856412,1.034095610824328,27.5454545454545,5.545454545454549,4.18181818181818,8.0,11.0,0.7272727272727271,2023.0
91,Brandon Boston Jr.,2022,RS,LAC,1610,760,-1.877439842401404,-1.247734891213134,-3.1251747336145383,-4.630711977927891,1.5031595846219552,-3.1275523933059373,-2.5419803948159743,-0.7819978578775948,-3.323978252693569,-0.2229289160616695,-0.2229289160616695,0.0,-2.921154594735937,-1.4694891550667017,-4.3906437498026385,0.1652179950909966,2.6,0.0,0.4,1.0,5.0,0.2,2023.0
93,Chris Boucher,2022,RS,TOR,3436,1690,-0.4922115187266761,0.07147963276701201,-0.4207318859596642,1.0679790023963371,4.276833584197711,5.344812586594047,-0.2141272672356032,0.9361765735836582,0.722049306348055,2.9831132255748143,2.9831132255748143,0.0,0.4351216495329706,0.6751991865141509,1.110320836047122,-0.3547387024450222,9.55555555555556,0.666666666666667,4.66666666666667,6.0,9.0,0.666666666666667,2023.0
94,James Bouknight,2022,RS,CHA,657,304,-1.574479731869137,-5.307878293115309,-6.882358024984446,-4.903016053458662,-2.2706957554959137,-7.173711808954576,-2.3890694152107272,-4.973059238024391,-7.362128653235117,-0.7159167472828181,-0.7159167472828181,0.0,-2.3560344815387766,-4.884141511639103,-7.240175993177883,0.0799502344123525,6.5,1.75,2.5833333333333304,3.0,12.0,0.25,2023.0
97,Tony Bradley,2022,RS,CHI,1164,549,-3.4446929143742993,2.9136286520382435,-0.5310642623360549,1.065895073491758,4.011476179973142,5.0773712534649,-2.709151397739627,3.3594531726940184,0.6503017749543921,0.9487466238086479,0.9487466238086479,0.0,-2.832145573208942,0.9781963386723146,-1.8539492345366269,-0.3861021393763031,0.0,0.0,1.33333333333333,2.0,3.0,0.666666666666667,2023.0
100,Mikal Bridges,2022,RS,PHO,5981,2854,0.2927160824056477,1.131945691788582,1.424661774194229,7.241991686866659,-0.0469847992527975,7.195006887613863,1.739971625507989,0.907985848602326,2.647957474110315,7.83624197540691,7.83624197540691,0.0,1.7481549814624309,1.53027627113574,3.278431252598171,-0.3025802811302795,16.363636363636402,2.90909090909091,5.27272727272727,8.0,11.0,0.7272727272727271,2023.0
102,Oshae Brissett,2022,RS,IND,3298,1564,-1.2220913142959708,-2.4809020706094516,-3.7029933849054215,-0.4603210559315641,-3.501914701933593,-3.9622357578651566,-1.1303754560870372,-2.792230477943744,-3.9226059340307815,-0.9365465269152032,-0.9365465269152032,0.0,-0.5457124084774344,-2.5779814847026357,-3.1236938931800697,0.09216392910065599,1.0,0.33333333333333304,1.33333333333333,2.0,6.0,0.33333333333333304,2023.0
103,Malcolm Brogdon,2022,RS,IND,2475,1206,2.748499047844035,-1.0232391113863308,1.725259936457704,0.1534117095559669,0.8392953185154313,0.9927070280713982,2.356553988426825,-0.6601595798984892,1.696394408528336,2.7278753590843094,2.7278753590843094,0.0,2.27763824659485,-0.7388335090200695,1.53880473757478,-0.2922902179998802,13.727272727272698,3.54545454545455,3.81818181818182,8.0,11.0,0.7272727272727271,2023.0
108,Dillon Brooks,2022,RS,MEM,1872,885,0.8636345295073866,2.778948251718365,3.642582781225752,2.118085707584919,3.2700738298654772,5.388159537450394,1.117649037106345,3.0084094711012406,4.126058508207585,3.12046535433975,3.12046535433975,0.0,1.008177531923413,3.6681117822057097,4.676289314129123,0.5069605415070808,14.555555555555598,2.3333333333333304,3.44444444444444,6.0,9.0,0.666666666666667,2023.0
110,Bruce Brown,2022,RS,BRK,3705,1774,0.3039672552200758,0.9764985875519032,1.280465842771979,0.1244266444967511,-1.2931488195237357,-1.1687221750269852,0.2629233401433783,0.574252501083863,0.8371758412272414,3.2285263692992037,3.2285263692992037,0.0,0.3153207839667498,1.002076669798491,1.31739745376524,-0.5608205910325416,9.27272727272727,3.81818181818182,2.7272727272727297,8.0,11.0,0.7272727272727271,2023.0
115,Greg Brown III,2022,RS,POR,1360,640,-5.371008608672198,-3.56227742812536,-8.933286036797558,-4.964895296666202,-0.4914405876465206,-5.456335884312723,-5.553383267258776,-3.039340649992385,-8.592723917251163,-1.925576846011328,-1.925576846011328,0.0,-5.452160546313795,-3.158814874903593,-8.610975421217388,0.9311395343434292,2.5,0.0,0.25,2.0,4.0,0.5,2023.0
117,Jaylen Brown,2022,RS,BOS,4559,2220,1.7370122755355901,0.7473757894294396,2.48438806496503,0.4042373294661987,3.3042014511043365,3.708438780570535,1.4960251934967632,1.262675088711293,2.7587002822080566,6.2974045979267075,6.2974045979267075,0.0,1.9209695368190032,1.523904388312594,3.444873925131597,0.92973642965205,25.3636363636364,2.81818181818182,6.72727272727273,8.0,11.0,0.7272727272727271,2023.0
